,name,affiliation,homepage,scholarid,citedby,Research Interests,Google Scholar Link,url_picture
820,Allan Borodin,University of Toronto,http://www.cs.toronto.edu/~bor,VIFfuYgAAAAJ,12024,"['theoretical computer science', 'algorithm design']",https://scholar.google.com/citations?user=VIFfuYgAAAAJ&hl=en,
821,Allan D. Jepson,University of Toronto,http://www.cs.toronto.edu/~jepson,mYVIS8QAAAAJ,13804,['Computer Vision'],https://scholar.google.com/citations?user=mYVIS8QAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=mYVIS8QAAAAJ&citpid=2
822,Allan Gottlieb,New York University,http://cs.nyu.edu/~gottlieb,NOSCHOLARPAGE,,,,
823,Allan Hanbury,TU Wien,http://allan.hanbury.eu/doku.php,_hR4cSAAAAAJ,7214,"['Information retrieval', 'data science']",https://scholar.google.com/citations?user=_hR4cSAAAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_hR4cSAAAAAJ&citpid=3
824,Allan Jones,Open University UK,http://stem.open.ac.uk/people/acj5#tab2,NOSCHOLARPAGE,,,,
825,Allan Peter Engsig-Karup,DTU,https://www.compute.dtu.dk/english,NOSCHOLARPAGE,,,,
826,Allan Ramsay,University of Manchester,http://www.manchester.ac.uk/research/allan.ramsay,VIzhI7MAAAAJ,980,"['computational linguistics', 'natural language processing', 'theorem proving', 'higher-order logic', 'property theory']",https://scholar.google.com/citations?user=VIzhI7MAAAAJ&hl=en,
827,Allan Tucker,Brunel University London,https://www.brunel.ac.uk/people/allan-tucker,F55XS58AAAAJ,2179,"['Data mining', 'machine learning', 'biomedical informatics', 'ecoinformatics', 'artificial intelligence']",https://scholar.google.com/citations?user=F55XS58AAAAJ&hl=en,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=F55XS58AAAAJ&citpid=3
828,Allen D. Malony,University of Oregon,https://www.cs.uoregon.edu/People/Faculty/Allen_Malony.php,SYBxenEAAAAJ,8227,"['parallel computing', 'performance analysis']",https://scholar.google.com/citations?user=SYBxenEAAAAJ&hl=en,
829,Allen Parrish,The University of Alabama,http://cs.ua.edu/people/aparrish,NOSCHOLARPAGE,,,,
